family_name,config_path,exists,final_mode,frozen,sha256,metadata_path,metadata_exists,status
family_A_balanced,configs/kaggle/final/family_A_balanced.yaml,True,True,True,9ec6df4ca92411efa7bdcf0c52754ddf3de150ee19e8be773a1af6fc86c126a4,artifacts/final_submissions/family_A_balanced/metadata.json,True,not_ready_no_oof_or_test_predictions
family_B_defensive,configs/kaggle/final/family_B_defensive.yaml,True,True,True,78b24247a0dda75de7564eb5f32dce4b5129241dc8523bc3429313b01d11c51e,artifacts/final_submissions/family_B_defensive/metadata.json,True,not_ready_no_oof_or_test_predictions
family_C_aggressive,configs/kaggle/final/family_C_aggressive.yaml,True,True,True,f0be3485cd46bb6577c0001fd2e86b94d5cf66459e94a2c7f7295e2ad722c207,artifacts/final_submissions/family_C_aggressive/metadata.json,True,not_ready_no_oof_or_test_predictions
shared_final_base,configs/kaggle/final/shared_final_base.yaml,True,True,True,3d19bd25e731d99e8b91f91295e3360659de5a520a03ffe83745c1dff2104a78,,,base_config
