ablation_id,experiment_name,category,changed_component,variant_description,splitter,seed_set,OOF macro-F1,class0 F1,class1 F1,best_threshold,threshold_fragility,seed_std,public_lb_score,public_oof_delta,note,risk_flag,status,report_dir,oof_path
model_tabular_baseline,tabular_baseline,model,tabular,Tabular model only,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
model_sklearn_text_baseline,sklearn_text_baseline,model,sklearn_text,Sklearn TF-IDF pair-text cross-encoder baseline,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
model_transformer_ce_best,transformer_ce_best,model,transformer_ce,Real transformer cross-encoder; requires GPU/deps,term_group,42,,,,,,,,,requires real transformer/GPU OOF; skipped unless --allow-transformer,needs_fold_safe_recheck,not_run,,
model_tabular_plus_sklearn_text,tabular_plus_sklearn_text,model,blend_tab_sklearn,Blend tabular + sklearn_text OOF,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
model_tabular_plus_transformer,tabular_plus_transformer,model,blend_tab_transformer,Blend tabular + transformer OOF,term_group,42,,,,,,,,,requires real transformer/GPU OOF; skipped unless --allow-transformer,needs_fold_safe_recheck,not_run,,
model_tabular_plus_transformer_plus_dense,tabular_plus_transformer_plus_dense_signals,model,blend_tab_transformer_dense,Tabular dense signals + transformer blend,term_group,42,,,,,,,,,requires real transformer/GPU OOF; skipped unless --allow-transformer,needs_fold_safe_recheck,not_run,,
model_best_single,best_single_model,model,best_single,Select best single model from completed OOFs,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
model_best_balanced_blend,best_balanced_blend,model,best_blend,Select best balanced blend from completed OOFs,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
