ablation_id,experiment_name,category,changed_component,variant_description,splitter,seed_set,OOF macro-F1,class0 F1,class1 F1,best_threshold,threshold_fragility,seed_std,public_lb_score,public_oof_delta,note,risk_flag,status,report_dir,oof_path
ret_no_retrieval_features,tab_no_retrieval_features,retrieval,retrieval_features,No retrieval-derived features,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
ret_bm25_only,tab_bm25_only_retrieval,retrieval,bm25_only,BM25 retrieval features only,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
ret_dense_only,tab_dense_only_retrieval,retrieval,dense_only,Dense retrieval features only,term_group,42,,,,,,,,,requires real_dense artefacts; skipped unless --allow-real-dense,needs_fold_safe_recheck,not_run,,
ret_hybrid,tab_hybrid_retrieval,retrieval,hybrid,BM25 + dense hybrid retrieval features,term_group,42,,,,,,,,,requires real_dense artefacts; skipped unless --allow-real-dense,needs_fold_safe_recheck,not_run,,
ret_rank_off,tab_retrieval_rank_off,retrieval,rank_features,Retrieval score features without rank signals,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
ret_score_off,tab_retrieval_score_off,retrieval,score_features,Retrieval rank features without score signals,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
ret_overlap_off,tab_retrieval_overlap_off,retrieval,overlap_agreement,Retrieval features without overlap/agreement flags,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
