ablation_id,experiment_name,category,changed_component,variant_description,splitter,seed_set,OOF macro-F1,class0 F1,class1 F1,best_threshold,threshold_fragility,seed_std,public_lb_score,public_oof_delta,note,risk_flag,status,report_dir,oof_path
thr_fixed_05,threshold_fixed_05,threshold,fixed_05,Fixed threshold 0.5,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
thr_oof_best,threshold_oof_best,threshold,oof_best,OOF best global threshold,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
thr_class0_protective,threshold_class0_protective,threshold,class0_protective,Higher threshold to protect class 0,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
thr_class1_protective,threshold_class1_protective,threshold,class1_protective,Lower threshold to protect class 1,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
thr_stable_midpoint,threshold_stable_midpoint,threshold,stable_midpoint,Midpoint of stable near-optimal threshold plateau,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
thr_segment_analysis,threshold_segment_analysis_only,threshold,segment_threshold,"Segment threshold analysis only, not final decision",term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
